자격구분코드,자격구분명,계열명,종목명,상세분야,언어,버전,급수,공통유무
T,국가기술자격,기능사,보석가공기능사,,,,,
T,국가기술자격,기능사,조경기능사,,,,,
T,국가기술자격,기능사,도화기능사,,,,,
T,국가기술자격,기능사,보석감정사,,,,,
T,국가기술자격,기능사,지게차운전기능사,,,,,
T,국가기술자격,기능사,롤러운전기능사,,,,,
T,국가기술자격,기능사,양화장치운전기능사,,,,,
T,국가기술자격,기능사,승강기기능사,,,,,
T,국가기술자격,기능사,세탁기능사,,,,,
T,국가기술자격,기능사,화약취급기능사,,,,,
T,국가기술자격,기능사,수산양식기능사,,,,,
T,국가기술자격,기능사,로더운전기능사,,,,,
T,국가기술자격,기능사,목공예기능사,,,,,
T,국가기술자격,기능사,축산기능사,,,,,
T,국가기술자격,기능사,식육처리기능사,,,,,
T,국가기술자격,기능사,버섯종균기능사,,,,,
T,국가기술자격,기능사,기중기운전기능사,,,,,
T,국가기술자격,기능사,굴착기운전기능사,,,,,
T,국가기술자격,기능사,불도저운전기능사,,,,,
T,국가기술자격,기능사,산림기능사,,,,,
T,국가기술자격,기능사,잠수기능사,,,,,
T,국가기술자격,기능사,종자기능사,,,,,
T,국가기술자격,기능사,지적기능사,,,,,
T,국가기술자격,기능사,임업종묘기능사,,,,,
T,국가기술자격,기능사,철근기능사,,,,,
T,국가기술자격,기능사,사진기능사,,,,,
T,국가기술자격,기능사,컴퓨터그래픽기능사,,,,,
T,국가기술자격,기능사,기계가공조립기능사,,,,,
T,국가기술자격,기능사,공조냉동기계기능사,,,,,
T,국가기술자격,기능사,가스기능사,,,,,
T,국가기술자격,기사,직업상담사2급,,,,,
T,국가기술자격,기사,사회조사분석사1급,,,,,
T,국가기술자격,기사,사회조사분석사2급,,,,,
T,국가기술자격,기능사,건축목공기능사,,,,,
T,국가기술자격,기능사,금속재창호기능사,,,,,
T,국가기술자격,기능사,미장기능사,,,,,
T,국가기술자격,기능사,열처리기능사,,,,,
T,국가기술자격,기능사,방수기능사,,,,,
T,국가기술자격,기능사,전산응용건축제도기능사,,,,,
T,국가기술자격,기능사,조적기능사,,,,,
T,국가기술자격,기사,양식조리산업기사,,,,,
T,국가기술자격,기사,일식조리산업기사,,,,,
T,국가기술자격,기사,중식조리산업기사,,,,,
T,국가기술자격,기사,복어조리산업기사,,,,,
T,국가기술자격,기능사,측량기능사,,,,,
T,국가기술자격,기능사,축로기능사,,,,,
T,국가기술자격,기능사,농기계정비기능사,,,,,
T,국가기술자격,기능사,자동차정비기능사,,,,,
T,국가기술자격,기능사,주조기능사,,,,,
T,국가기술자격,기능사,자동차차체수리기능사,,,,,
T,국가기술자격,기능사,금속재료시험기능사,,,,,
T,국가기술자격,기능사,제선기능사,,,,,
T,국가기술자격,기능사,전산응용기계제도기능사,,,,,
T,국가기술자격,기능사,정밀측정기능사,,,,,
T,국가기술자격,기능사,농기계운전기능사,,,,,
T,국가기술자격,기능장,건축일반시공기능장,,,,,
T,국가기술자격,기능장,주조기능장,,,,,
T,국가기술자격,기능장,표면처리기능장,,,,,
T,국가기술자격,기능장,자동차정비기능장,,,,,
T,국가기술자격,기능장,건설기계정비기능장,,,,,
T,국가기술자격,기사,교통산업기사,,,,,
T,국가기술자격,기사,귀금속가공산업기사,,,,,
T,국가기술자격,기사,어로산업기사,,,,,
T,국가기술자격,기능장,철도차량정비기능장,,,,,
T,국가기술자격,기능장,금형기능장,,,,,
T,국가기술자격,기능장,배관기능장,,,,,
T,국가기술자격,기사,산업위생관리산업기사,,,,,
T,국가기술자격,기능장,판금제관기능장,,,,,
T,국가기술자격,기능장,용접기능장,,,,,
T,국가기술자격,기사,폐기물처리산업기사,,,,,
T,국가기술자격,기사,포장산업기사,,,,,
T,국가기술자격,기사,제품디자인산업기사,,,,,
T,국가기술자격,기사,공조냉동기계산업기사,,,,,
T,국가기술자격,기사,화약류제조산업기사,,,,,
T,국가기술자격,기사,실내건축산업기사,,,,,
T,국가기술자격,기사,정보처리산업기사,,,,,
T,국가기술자격,기사,건설재료시험산업기사,,,,,
T,국가기술자격,기사,방사선비파괴검사산업기사,,,,,
T,국가기술자격,기사,한식조리산업기사,,,,,
T,국가기술자격,기사,패션디자인산업기사,,,,,
T,국가기술자격,기사,섬유디자인산업기사,,,,,
T,국가기술자격,기능사,전산응용토목제도기능사,,,,,
T,국가기술자격,기능장,조리기능장,,,,,
T,국가기술자격,기능장,제과기능장,,,,,
T,국가기술자격,기능장,미용장,,,,,
T,국가기술자격,기능장,이용장,,,,,
T,국가기술자격,기능장,귀금속가공기능장,,,,,
T,국가기술자격,기능장,건축목재시공기능장,,,,,
T,국가기술자격,기사,초음파비파괴검사산업기사,,,,,
T,국가기술자격,기사,침투비파괴검사산업기사,,,,,
T,국가기술자격,기능장,기계가공기능장,,,,,
T,국가기술자격,기능장,가스기능장,,,,,
T,국가기술자격,기능장,전자기능장,,,,,
T,국가기술자격,기사,소방설비산업기사,전기분야,,,,
T,국가기술자격,기사,소음진동산업기사,,,,,
T,국가기술자격,기능장,금속재료기능장,,,,,
T,국가기술자격,기능장,제선기능장,,,,,
T,국가기술자격,기능장,제강기능장,,,,,
T,국가기술자격,기능장,압연기능장,,,,,
T,국가기술자격,기사,피아노조율산업기사,,,,,
T,국가기술자격,기사,소방설비산업기사,기계분야,,,,
T,국가기술자격,기사,자기비파괴검사산업기사,,,,,
T,국가기술자격,기능장,에너지관리기능장,,,,,
T,국가기술자격,기사,농업기계산업기사,,,,,
T,국가기술자격,기사,사출금형산업기사,,,,,
T,국가기술자격,기사,공조냉동기계기사,,,,,
T,국가기술자격,기사,프레스금형산업기사,,,,,
T,국가기술자격,기사,철도차량산업기사,,,,,
T,국가기술자격,기사,소방설비기사,기계분야,,,,
T,국가기술자격,기사,대기환경기사,,,,,
T,국가기술자격,기사,용접산업기사,,,,,
T,국가기술자격,기사,가스기사,,,,,
T,국가기술자격,기사,건축기사,,,,,
T,국가기술자격,기사,건축설비기사,,,,,
T,국가기술자격,기사,폐기물처리기사,,,,,
T,국가기술자격,기사,기계조립산업기사,,,,,
T,국가기술자격,기사,축산기사,,,,,
T,국가기술자격,기사,임산가공기사,,,,,
T,국가기술자격,기사,식품안전기사,,,,,
T,국가기술자격,기사,수산제조기사,,,,,
T,국가기술자격,기사,승강기기사,,,,,
T,국가기술자격,기사,종자기사,,,,,
T,국가기술자격,기사,포장기사,,,,,
T,국가기술자격,기사,제품디자인기사,,,,,
T,국가기술자격,기사,시설원예기사,,,,,
T,국가기술자격,기사,시각디자인기사,,,,,
T,국가기술자격,기사,바이오화학제품제조기사,,,,,
T,국가기술자격,기술사,폐기물처리기술사,,,,,
T,국가기술자격,기사,화약류관리기사,,,,,
T,국가기술자격,기사,산업위생관리기사,,,,,
T,국가기술자격,기사,해양공학기사,,,,,
T,국가기술자격,기사,광학기사,,,,,
T,국가기술자격,기사,산업안전기사,,,,,
T,국가기술자격,기사,건설안전기사,,,,,
T,국가기술자격,기사,측량및지형공간정보기사,,,,,
T,국가기술자격,기사,프레스금형기사,,,,,
T,국가기술자격,기사,철도차량기사,,,,,
T,국가기술자격,기사,지적기사,,,,,
T,국가기술자격,기사,인쇄설계기사,,,,,
T,국가기술자격,기사,해양환경기사,,,,,
T,국가기술자격,기사,해양자원개발기사,,,,,
T,국가기술자격,기사,건설기계설비기사,,,,,
T,국가기술자격,기사,건설기계정비기사,,,,,
T,국가기술자격,기사,일반기계기사,,,,,
T,국가기술자격,기사,용접기사,,,,,
T,국가기술자격,기사,도시계획기사,,,,,
T,국가기술자격,기사,조경기사,,,,,
T,국가기술자격,기사,농업기계기사,,,,,
T,국가기술자격,기사,사출금형기사,,,,,
T,국가기술자격,기술사,소음진동기술사,,,,,
T,국가기술자격,기술사,농화학기술사,,,,,
T,국가기술자격,기사,정보처리기사,,,,,
T,국가기술자격,기사,전자계산기기사,,,,,
T,국가기술자격,기사,전자계산기조직응용기사,,,,,
T,국가기술자격,기사,실내건축기사,,,,,
T,국가기술자격,기술사,교통기술사,,,,,
T,국가기술자격,기사,수산양식기사,,,,,
T,국가기술자격,기사,침투비파괴검사기사,,,,,
T,국가기술자격,기사,와전류비파괴검사기사,,,,,
T,국가기술자격,기사,수질환경기사,,,,,
T,국가기술자격,기사,소음진동기사,,,,,
T,국가기술자격,기사,누설비파괴검사기사,,,,,
T,국가기술자격,기사,기상기사,,,,,
T,국가기술자격,기사,의류기사,,,,,
T,국가기술자격,기사,소방설비기사,전기분야,,,,
T,국가기술자격,기사,자기비파괴검사기사,,,,,
T,국가기술자격,기사,식물보호기사,,,,,
T,국가기술자격,기사,임업종묘기사,,,,,
T,국가기술자격,기사,건축일반시공산업기사,,,,,
T,국가기술자격,기사,건축목공산업기사,,,,,
T,국가기술자격,기사,대기환경산업기사,,,,,
T,국가기술자격,기사,수질환경산업기사,,,,,
T,국가기술자격,기사,조선산업기사,,,,,
T,국가기술자격,기사,식물보호산업기사,,,,,
T,국가기술자격,기사,수산양식산업기사,,,,,
T,국가기술자격,기사,잠수산업기사,,,,,
T,국가기술자격,기사,건축산업기사,,,,,
T,국가기술자격,기사,건축설비산업기사,,,,,
T,국가기술자격,기사,전기산업기사,,,,,
T,국가기술자격,기사,전기공사산업기사,,,,,
T,국가기술자격,기사,산림산업기사,,,,,
T,국가기술자격,기사,축산산업기사,,,,,
T,국가기술자격,기사,식품산업기사,,,,,
T,국가기술자격,기사,철도신호산업기사,,,,,
T,국가기술자격,기사,전자산업기사,,,,,
T,국가기술자격,기사,화약류관리산업기사,,,,,
T,국가기술자격,기사,종자산업기사,,,,,
T,국가기술자격,기사,가스산업기사,,,,,
T,국가기술자격,기사,항공산업기사,,,,,
T,국가기술자격,기사,토목산업기사,,,,,
T,국가기술자격,기사,주조산업기사,,,,,
T,국가기술자격,기사,표면처리산업기사,,,,,
T,국가기술자격,기사,시각디자인산업기사,,,,,
T,국가기술자격,기사,건설안전산업기사,,,,,
T,국가기술자격,기사,디지털인쇄산업기사,,,,,
T,국가기술자격,기사,승강기산업기사,,,,,
T,국가기술자격,기사,측량및지형공간정보산업기사,,,,,
T,국가기술자격,기사,지적산업기사,,,,,
T,국가기술자격,기사,금속재료산업기사,,,,,
T,국가기술자격,기사,정밀측정산업기사,,,,,
T,국가기술자격,기사,해양조사산업기사,,,,,
T,국가기술자격,기사,산업안전산업기사,,,,,
T,국가기술자격,기사,조경산업기사,,,,,
T,국가기술자격,기사,자동차정비산업기사,,,,,
T,국가기술자격,기사,건설기계설비산업기사,,,,,
T,국가기술자격,기사,배관산업기사,,,,,
T,국가기술자격,기사,방사선비파괴검사기사,,,,,
T,국가기술자격,기사,초음파비파괴검사기사,,,,,
T,국가기술자격,기사,철도신호기사,,,,,
T,국가기술자격,기사,전기철도기사,,,,,
T,국가기술자격,기사,건설기계정비산업기사,,,,,
T,국가기술자격,기사,기계설계산업기사,,,,,
T,국가기술자격,기사,건설재료시험기사,,,,,
T,국가기술자격,기사,교통기사,,,,,
T,국가기술자격,기사,철도토목기사,,,,,
T,국가기술자격,기사,자동화설비산업기사,,,,,
T,국가기술자격,기사,설비보전산업기사,,,,,
T,국가기술자격,기사,임상심리사,,,,1급,
T,국가기술자격,기사,임상심리사,,,,2급,
T,국가기술자격,기사,텔레마케팅관리사,,,,,
T,국가기술자격,기사,멀티미디어콘텐츠제작전문가,,,,,
T,국가기술자격,기술사,전자응용기술사,,,,,
T,국가기술자격,기술사,발송배전기술사,,,,,
T,국가기술자격,기술사,소방기술사,,,,,
T,국가기술자격,기능사,천장크레인운전기능사,,,,,
T,국가기술자격,기능사,선박기관정비기능사,,,,,
T,국가기술자격,기사,응용지질기사,,,,,
T,국가기술자격,기사,사무자동화산업기사,,,,,
T,국가기술자격,기능사,플라스틱창호기능사,,,,,
T,국가기술자격,기사,소비자전문상담사,,,,1급,
T,국가기술자격,기술사,전기응용기술사,,,,,
T,국가기술자격,기술사,철도신호기술사,,,,,
T,국가기술자격,기사,콘크리트기사,,,,,
T,국가기술자격,기사,콘크리트산업기사,,,,,
T,국가기술자격,기능사,화훼장식기능사,,,,,
T,국가기술자격,기능사,웹디자인개발기능사,,,,,
T,국가기술자격,기사,자연생태복원기사,,,,,
T,국가기술자격,기사,자연생태복원산업기사,,,,,
T,국가기술자격,기사,토양환경기사,,,,,
T,국가기술자격,기술사,토양환경기술사,,,,,
T,국가기술자격,기술사,자연환경관리기술사,,,,,
T,국가기술자격,기사,궤도장비정비기사,,,,,
T,국가기술자격,기사,궤도장비정비산업기사,,,,,
T,국가기술자격,기능사,궤도장비정비기능사,,,,,
T,국가기술자격,기술사,금속재료기술사,,,,,
T,국가기술자격,기술사,표면처리기술사,,,,,
T,국가기술자격,기술사,금속가공기술사,,,,,
T,국가기술자격,기술사,차량기술사,,,,,
T,국가기술자격,기사,유기농업기사,,,,,
T,국가기술자격,기사,유기농업산업기사,,,,,
T,국가기술자격,기사,생물분류기사,식물,,,,
T,국가기술자격,기사,생물분류기사,동물,,,,
T,국가기술자격,기술사,인간공학기술사,,,,,
T,국가기술자격,기사,인간공학기사,,,,,
T,국가기술자격,기술사,공조냉동기계기술사,,,,,
T,국가기술자격,기술사,건설기계기술사,,,,,
T,국가기술자격,기술사,대기관리기술사,,,,,
T,국가기술자격,기술사,수질관리기술사,,,,,
T,국가기술자격,기술사,축산기술사,,,,,
T,국가기술자격,기사,항공기사,,,,,
T,국가기술자격,기사,토목기사,,,,,
T,국가기술자격,기술사,수산제조기술사,,,,,
T,국가기술자격,기술사,제품디자인기술사,,,,,
T,국가기술자격,기술사,종자기술사,,,,,
T,국가기술자격,기술사,시설원예기술사,,,,,
T,국가기술자격,기술사,세라믹기술사,,,,,
T,국가기술자격,기술사,식품기술사,,,,,
T,국가기술자격,기술사,토목품질시험기술사,,,,,
T,국가기술자격,기사,전기기사,,,,,
T,국가기술자격,기사,전기공사기사,,,,,
T,국가기술자격,기사,전자기사,,,,,
T,국가기술자격,기술사,비파괴검사기술사,,,,,
T,국가기술자격,기술사,산업위생관리기술사,,,,,
T,국가기술자격,기술사,가스기술사,,,,,
T,국가기술자격,기술사,공장관리기술사,,,,,
T,국가기술자격,기술사,품질관리기술사,,,,,
T,국가기술자격,기사,화공기사,,,,,
T,국가기술자격,기사,화약류제조기사,,,,,
T,국가기술자격,기술사,포장기술사,,,,,
T,국가기술자격,기술사,기계안전기술사,,,,,
T,국가기술자격,기술사,화공안전기술사,,,,,
T,국가기술자격,기술사,전기안전기술사,,,,,
T,국가기술자격,기술사,건설안전기술사,,,,,
T,국가기술자격,기술사,측량및지형공간정보기술사,,,,,
T,국가기술자격,기술사,지적기술사,,,,,
T,국가기술자격,기술사,해양기술사,,,,,
T,국가기술자격,기술사,수산양식기술사,,,,,
T,국가기술자격,기술사,어업기술사,,,,,
T,국가기술자격,기술사,도시계획기술사,,,,,
T,국가기술자격,기능사,전자캐드기능사,,,,,
T,국가기술자격,기사,자동차정비기사,,,,,
T,국가기술자격,기술사,정보관리기술사,,,,,
T,국가기술자격,기술사,조경기술사,,,,,
T,국가기술자격,기술사,용접기술사,,,,,
T,국가기술자격,기술사,금형기술사,,,,,
T,국가기술자격,기술사,의류기술사,,,,,
T,국가기술자격,기술사,화약류관리기술사,,,,,
T,국가기술자격,기술사,건축품질시험기술사,,,,,
T,국가기술자격,기술사,건축구조기술사,,,,,
T,국가기술자격,기술사,건축기계설비기술사,,,,,
T,국가기술자격,기술사,건축전기설비기술사,,,,,
T,국가기술자격,기술사,건축시공기술사,,,,,
T,국가기술자격,기술사,전기철도기술사,,,,,
T,국가기술자격,기술사,수자원개발기술사,,,,,
T,국가기술자격,기술사,상하수도기술사,,,,,
T,국가기술자격,기술사,농어업토목기술사,,,,,
T,국가기술자격,기술사,토목시공기술사,,,,,
T,국가기술자격,기술사,토질및기초기술사,,,,,
T,국가기술자격,기술사,지질및지반기술사,,,,,
T,국가기술자격,기술사,토목구조기술사,,,,,
T,국가기술자격,기술사,항만및해안기술사,,,,,
T,국가기술자격,기술사,도로및공항기술사,,,,,
T,국가기술자격,기술사,철도기술사,,,,,
T,국가기술자격,기술사,철도차량기술사,,,,,
T,국가기술자격,기능사,자동화설비기능사,,,,,
T,국가기술자격,기사,패션머천다이징산업기사,,,,,
T,국가기술자격,기사,항로표지기사,,,,,
T,국가기술자격,기사,항로표지산업기사,,,,,
T,국가기술자격,기능사,항로표지기능사,,,,,
T,국가기술자격,기사,컬러리스트기사,,,,,
T,국가기술자격,기사,컬러리스트산업기사,,,,,
T,국가기술자격,기능사,제품응용모델링기능사,,,,,
T,국가기술자격,기술사,기상예보기술사,,,,,
T,국가기술자격,기술사,항공기체기술사,,,,,
T,국가기술자격,기술사,항공기관기술사,,,,,
T,국가기술자격,기능사,전자출판기능사,,,,,
T,국가기술자격,기사,컨벤션기획사,,,,1급,
T,국가기술자격,기사,소비자전문상담사,,,,2급,
T,국가기술자격,기능장,전기기능장,,,,,
T,국가기술자격,기능사,배관기능사,,,,,
T,국가기술자격,기능사,표면처리기능사,,,,,
T,국가기술자격,기능사,인쇄기능사,,,,,
T,국가기술자격,기능사,식품가공기능사,,,,,
T,국가기술자격,기능사,전기기능사,,,,,
T,국가기술자격,기능사,원예기능사,,,,,
T,국가기술자격,기사,철도운송산업기사,,,,,
T,국가기술자격,기술사,산림기술사,,,,,
T,국가기술자격,기사,금속재료기사,,,,,
T,국가기술자격,기사,전자계산기제어산업기사,,,,,
T,국가기술자격,기능사,컴퓨터응용선반기능사,,,,,
T,국가기술자격,기능사,컴퓨터응용밀링기능사,,,,,
T,국가기술자격,기능사,철도차량정비기능사,,,,,
T,국가기술자격,기능사,압연기능사,,,,,
T,국가기술자격,기능사,피복아크용접기능사,,,,,
T,국가기술자격,기사,어업생산관리기사,,,,,
T,국가기술자격,기사,에너지관리기사,,,,,
T,국가기술자격,기사,에너지관리산업기사,,,,,
T,국가기술자격,기사,화훼장식기사,,,,,
T,국가기술자격,기사,스포츠경영관리사,,,,,
T,국가기술자격,기술사,산업계측제어기술사,,,,,
T,국가기술자격,기사,위험물산업기사,,,,,
T,국가기술자격,기능장,위험물기능장,,,,,
T,국가기술자격,기능사,유기농업기능사,,,,,
T,국가기술자격,기능사,자동차보수도장기능사,,,,,
T,국가기술자격,기사,설비보전기사,,,,,
T,국가기술자격,기능사,설비보전기능사,,,,,
T,국가기술자격,기사,전자부품장착산업기사,,,,,
T,국가기술자격,기능사,전자부품장착기능사,,,,,
T,국가기술자격,기사,화학분석기사,,,,,
T,국가기술자격,기능사,타워크레인운전기능사,,,,,
T,국가기술자격,기사,반도체설계산업기사,,,,,
T,국가기술자격,기사,컨벤션기획사,,,,2급,
T,국가기술자격,기술사,산업기계설비기술사,,,,,
T,국가기술자격,기술사,화공기술사,,,,,
T,국가기술자격,기술사,조선기술사,,,,,
T,국가기술자격,기사,직업상담사,,,,1급,
T,국가기술자격,기사,품질경영기사,,,,,
T,국가기술자격,기능사,의료전자기능사,,,,,
T,국가기술자격,기사,의공산업기사,,,,,
T,국가기술자격,기사,의공기사,,,,,
T,국가기술자격,기능사,미용사,일반,,,,
T,국가기술자격,기능사,미용사,피부,,,,
T,국가기술자격,기사,전기철도산업기사,,,,,
T,국가기술자격,기사,산림기사,,,,,
T,국가기술자격,기사,판금제관산업기사,,,,,
T,국가기술자격,기사,컴퓨터응용가공산업기사,,,,,
T,국가기술자격,기사,품질경영산업기사,,,,,
S,국가전문자격,경매사,경매사,수산,,,,
S,국가전문자격,경매사,경매사,축산,,,,
S,국가전문자격,경매사,경매사,약용,,,,
S,국가전문자격,관광통역안내사,관광통역안내사,,,,,
S,국가전문자격,관광통역안내사,관광통역안내사,,아랍어,,,
S,국가전문자격,관광통역안내사,관광통역안내사,,베트남어,,,
S,국가전문자격,관광통역안내사,관광통역안내사,,말레이/인도네시아어,,,
S,국가전문자격,경매사,경매사,화훼,,,,
S,국가전문자격,경매사,경매사,양곡,,,,
S,국가전문자격,관광통역안내사,관광통역안내사,,이탈리아어,,,
S,국가전문자격,경매사,경매사,청과,,,,
S,국가전문자격,청소년지도사,청소년지도사,,,,1급,
S,국가전문자격,청소년지도사,청소년지도사,,,,2급,
S,국가전문자격,청소년지도사,청소년지도사,,,,3급,
S,국가전문자격,청소년상담사,청소년상담사,,,,1급,
S,국가전문자격,청소년상담사,청소년상담사,,,,2급,
S,국가전문자격,청소년상담사,청소년상담사,,,,3급,
T,국가기술자격,기술사,기계기술사,,,,,
